dataset,piece,unit,level,delay_ms,jitter_sd_ms,dropout_rate,n_singers,A_mean,onset_sync,N_density,E_mean,n_sig_edges,max_eigen_centrality,gini_out_degree,null_mean,p_null
choralsynth,Haydnmesse_4stimmig,part,jamulus_wan,83.0,57.0,0.03,4,0.6907,0.1664,1.0,0.8454,12,0.5,0.0,0.5785,0.0
choralsynth,Haydnmesse_4stimmig,part,zoom,150.0,80.0,0.08,4,0.6066,0.0999,1.0,0.8033,12,0.5,0.0,0.5778,0.0
choralsynth,HempCW-JustJudge,part,clean,0.0,0.0,0.0,5,0.4651,0.3586,0.7,0.5826,14,0.5521,0.1429,0.4354,0.0
choralsynth,HempCW-JustJudge,part,ept,25.0,10.0,0.0,5,0.4605,0.235,0.8,0.6302,16,0.5252,0.125,0.4851,0.0
choralsynth,HempCW-JustJudge,part,jamulus_lan,47.0,46.0,0.01,5,0.43,0.1589,0.75,0.59,15,0.5565,0.16,0.4582,0.0
choralsynth,HempCW-JustJudge,part,jamulus_wan,83.0,57.0,0.03,5,0.4122,0.1212,0.75,0.5811,15,0.5318,0.1067,0.4572,0.0
choralsynth,HempCW-JustJudge,part,zoom,150.0,80.0,0.08,5,0.3812,0.0909,0.7,0.5406,14,0.5318,0.0571,0.4296,0.0
choralsynth,Honour_and_majesty_are_before_him,part,clean,0.0,0.0,0.0,5,0.3684,0.2341,0.75,0.5592,15,0.5125,0.1067,0.4534,0.0
choralsynth,Honour_and_majesty_are_before_him,part,ept,25.0,10.0,0.0,5,0.3673,0.1425,0.9,0.6336,18,0.4814,0.0667,0.5282,0.0
choralsynth,Honour_and_majesty_are_before_him,part,jamulus_lan,47.0,46.0,0.01,5,0.3514,0.0993,0.85,0.6007,17,0.508,0.0706,0.5026,0.0
choralsynth,Honour_and_majesty_are_before_him,part,jamulus_wan,83.0,57.0,0.03,5,0.3359,0.0549,0.8,0.568,16,0.5216,0.125,0.4771,0.0
choralsynth,Honour_and_majesty_are_before_him,part,zoom,150.0,80.0,0.08,5,0.3149,0.0301,0.9,0.6075,18,0.4821,0.0667,0.5264,0.0
choralsynth,Hunting_song_Macfarren_WC,part,clean,0.0,0.0,0.0,5,0.5099,0.4684,0.95,0.73,19,0.4649,0.0421,0.5531,0.0
choralsynth,Hunting_song_Macfarren_WC,part,ept,25.0,10.0,0.0,5,0.5025,0.2832,0.9,0.7012,18,0.4814,0.0667,0.5277,0.0
choralsynth,Hunting_song_Macfarren_WC,part,jamulus_lan,47.0,46.0,0.01,5,0.4337,0.1696,0.95,0.6919,19,0.4649,0.0421,0.5504,0.0
choralsynth,Hunting_song_Macfarren_WC,part,jamulus_wan,83.0,57.0,0.03,5,0.3792,0.1233,0.85,0.6146,17,0.4944,0.0706,0.5009,0.0
choralsynth,Hunting_song_Macfarren_WC,part,zoom,150.0,80.0,0.08,5,0.3321,0.0882,0.9,0.616,18,0.4814,0.0667,0.5249,0.0
choralsynth,I_am_the_bread,part,clean,0.0,0.0,0.0,4,0.7531,0.4638,0.8333,0.7932,10,0.5615,0.1,0.5108,0.0
choralsynth,I_am_the_bread,part,ept,25.0,10.0,0.0,4,0.7526,0.3321,1.0,0.8763,12,0.5,0.0,0.5939,0.0
choralsynth,I_am_the_bread,part,jamulus_lan,47.0,46.0,0.01,4,0.7123,0.2314,1.0,0.8562,12,0.5,0.0,0.594,0.0
choralsynth,I_am_the_bread,part,jamulus_wan,83.0,57.0,0.03,4,0.6766,0.158,1.0,0.8383,12,0.5,0.0,0.5928,0.0
choralsynth,I_am_the_bread,part,zoom,150.0,80.0,0.08,4,0.6191,0.1555,1.0,0.8095,12,0.5,0.0,0.5914,0.0
choralsynth,I_am_the_resurrection_Tomkins,part,clean,0.0,0.0,0.0,4,0.5103,0.3061,0.5833,0.5468,7,0.6047,0.25,0.3744,0.0
choralsynth,I_am_the_resurrection_Tomkins,part,ept,25.0,10.0,0.0,4,0.511,0.2042,0.8333,0.6722,10,0.5615,0.1,0.499,0.0
choralsynth,I_am_the_resurrection_Tomkins,part,jamulus_lan,47.0,46.0,0.01,4,0.4869,0.1644,0.8333,0.6601,10,0.5615,0.1,0.4984,0.0
choralsynth,I_am_the_resurrection_Tomkins,part,jamulus_wan,83.0,57.0,0.03,4,0.4633,0.101,1.0,0.7316,12,0.5,0.0,0.5818,0.0
choralsynth,I_am_the_resurrection_Tomkins,part,zoom,150.0,80.0,0.08,4,0.4346,0.0727,1.0,0.7173,12,0.5,0.0,0.5804,0.0
choralsynth,I_know_that_my_Redeemer_Tomkins,part,clean,0.0,0.0,0.0,4,0.2913,0.3024,0.25,0.2707,3,0.7071,0.25,0.199,0.0
choralsynth,I_know_that_my_Redeemer_Tomkins,part,ept,25.0,10.0,0.0,4,0.291,0.2144,0.5833,0.4372,7,0.7071,0.25,0.3658,0.0
choralsynth,I_know_that_my_Redeemer_Tomkins,part,jamulus_lan,47.0,46.0,0.01,4,0.2737,0.1195,0.8333,0.5535,10,0.5638,0.1,0.4906,0.0
choralsynth,I_know_that_my_Redeemer_Tomkins,part,jamulus_wan,83.0,57.0,0.03,4,0.2563,0.1027,0.8333,0.5448,10,0.5774,0.1,0.4899,0.0
choralsynth,I_know_that_my_Redeemer_Tomkins,part,zoom,150.0,80.0,0.08,4,0.2402,0.0616,1.0,0.6201,12,0.5,0.0,0.5711,0.0
choralsynth,I_know_whom_I_have_believed_-_MacFarren,part,clean,0.0,0.0,0.0,5,0.6139,0.3318,1.0,0.8069,20,0.4472,0.0,0.6042,0.0
choralsynth,I_know_whom_I_have_believed_-_MacFarren,part,ept,25.0,10.0,0.0,5,0.6127,0.2776,1.0,0.8063,20,0.4472,0.0,0.6041,0.0
choralsynth,I_know_whom_I_have_believed_-_MacFarren,part,jamulus_lan,47.0,46.0,0.01,5,0.5993,0.1534,1.0,0.7996,20,0.4472,0.0,0.6038,0.0
choralsynth,I_know_whom_I_have_believed_-_MacFarren,part,jamulus_wan,83.0,57.0,0.03,5,0.5987,0.1508,1.0,0.7994,20,0.4472,0.0,0.6031,0.0
choralsynth,I_know_whom_I_have_believed_-_MacFarren,part,zoom,150.0,80.0,0.08,5,0.5872,0.1091,1.0,0.7936,20,0.4472,0.0,0.6031,0.0
choralsynth,I_will_recount,part,clean,0.0,0.0,0.0,4,0.5048,0.1697,0.5833,0.5441,7,0.6821,0.1071,0.3915,0.0
choralsynth,I_will_recount,part,ept,25.0,10.0,0.0,4,0.5096,0.0991,0.8333,0.6714,10,0.5774,0.1,0.5164,0.0
choralsynth,I_will_recount,part,jamulus_lan,47.0,46.0,0.01,4,0.4947,0.0903,0.5833,0.539,7,0.5438,0.25,0.3904,0.0
choralsynth,I_will_recount,part,jamulus_wan,83.0,57.0,0.03,4,0.4779,0.0736,0.5,0.489,6,0.5774,0.1667,0.3476,0.0
choralsynth,I_will_recount,part,zoom,150.0,80.0,0.08,4,0.4434,0.0369,0.5,0.4717,6,0.5774,0.1667,0.3463,0.0
choralsynth,If_I_had_but_two_little_wings_Parry,part,clean,0.0,0.0,0.0,5,0.4447,0.4712,1.0,0.7224,20,0.4472,0.0,0.574,0.0
choralsynth,If_I_had_but_two_little_wings_Parry,part,ept,25.0,10.0,0.0,5,0.4402,0.3211,1.0,0.7201,20,0.4472,0.0,0.5738,0.0
choralsynth,If_I_had_but_two_little_wings_Parry,part,jamulus_lan,47.0,46.0,0.01,5,0.4092,0.215,1.0,0.7046,20,0.4472,0.0,0.5726,0.0
choralsynth,If_I_had_but_two_little_wings_Parry,part,jamulus_wan,83.0,57.0,0.03,5,0.3774,0.1685,0.95,0.6637,19,0.4649,0.0421,0.5469,0.0
choralsynth,If_I_had_but_two_little_wings_Parry,part,zoom,150.0,80.0,0.08,5,0.3406,0.1109,0.9,0.6203,18,0.4814,0.0667,0.5207,0.0
choralsynth,If_ye_then_be_risen_with_Christ_Foster,part,clean,0.0,0.0,0.0,3,0.3482,0.2649,1.0,0.6741,6,0.5774,0.0,0.5846,0.0
choralsynth,If_ye_then_be_risen_with_Christ_Foster,part,ept,25.0,10.0,0.0,3,0.3479,0.1801,1.0,0.6739,6,0.5774,0.0,0.5845,0.0
choralsynth,If_ye_then_be_risen_with_Christ_Foster,part,jamulus_lan,47.0,46.0,0.01,3,0.337,0.1272,1.0,0.6685,6,0.5774,0.0,0.5842,0.0
choralsynth,If_ye_then_be_risen_with_Christ_Foster,part,jamulus_wan,83.0,57.0,0.03,3,0.3231,0.0962,1.0,0.6616,6,0.5774,0.0,0.5844,0.0
choralsynth,If_ye_then_be_risen_with_Christ_Foster,part,zoom,150.0,80.0,0.08,3,0.3039,0.0587,1.0,0.6519,6,0.5774,0.0,0.5841,0.0
choralsynth,If_you_love_me,part,clean,0.0,0.0,0.0,4,0.4801,0.2057,0.75,0.6151,9,0.5845,0.0833,0.4677,0.0
choralsynth,If_you_love_me,part,ept,25.0,10.0,0.0,4,0.4798,0.1605,0.75,0.6149,9,0.5774,0.0833,0.4673,0.0
choralsynth,If_you_love_me,part,jamulus_lan,47.0,46.0,0.01,4,0.4614,0.1221,0.8333,0.6474,10,0.5615,0.1,0.5089,0.0
choralsynth,If_you_love_me,part,jamulus_wan,83.0,57.0,0.03,4,0.4333,0.0876,0.75,0.5917,9,0.6106,0.0833,0.4662,0.0
choralsynth,If_you_love_me,part,zoom,150.0,80.0,0.08,4,0.4013,0.0978,1.0,0.7006,12,0.5,0.0,0.5904,0.0
choralsynth,India-Circumdederunt_me,part,clean,0.0,0.0,0.0,5,0.2451,0.1857,0.65,0.4475,13,0.5862,0.2154,0.435,0.0
choralsynth,India-Circumdederunt_me,part,ept,25.0,10.0,0.0,5,0.2459,0.1407,0.8,0.5229,16,0.5118,0.125,0.51,0.0
choralsynth,India-Circumdederunt_me,part,jamulus_lan,47.0,46.0,0.01,5,0.2466,0.1095,0.8,0.5233,16,0.5031,0.05,0.5099,0.0
choralsynth,India-Circumdederunt_me,part,jamulus_wan,83.0,57.0,0.03,5,0.2463,0.076,0.65,0.4481,13,0.5516,0.2154,0.4347,0.0
choralsynth,India-Circumdederunt_me,part,zoom,150.0,80.0,0.08,5,0.2447,0.0675,0.65,0.4473,13,0.5694,0.1538,0.4341,0.0
choralsynth,India-Deus%2C_Deus_meus_respice,part,clean,0.0,0.0,0.0,4,0.2367,0.1643,0.25,0.2433,3,1.0,0.5833,0.2312,0.01
choralsynth,India-Deus%2C_Deus_meus_respice,part,ept,25.0,10.0,0.0,4,0.2368,0.1289,0.5,0.3684,6,0.7071,0.1667,0.3561,0.01
choralsynth,India-Deus%2C_Deus_meus_respice,part,jamulus_lan,47.0,46.0,0.01,4,0.2339,0.0822,0.5833,0.4086,7,0.7071,0.25,0.3979,0.02
choralsynth,India-Deus%2C_Deus_meus_respice,part,jamulus_wan,83.0,57.0,0.03,4,0.232,0.0533,0.4167,0.3243,5,0.7559,0.45,0.3146,0.04
choralsynth,India-Deus%2C_Deus_meus_respice,part,zoom,150.0,80.0,0.08,4,0.2255,0.0454,0.4167,0.3211,5,0.6325,0.45,0.3137,0.06
choralsynth,India-Domine_Deus_vite_meae,part,clean,0.0,0.0,0.0,5,0.2008,0.1932,0.35,0.2754,7,0.6547,0.4571,0.2755,0.46
choralsynth,India-Domine_Deus_vite_meae,part,ept,25.0,10.0,0.0,5,0.2004,0.1372,0.6,0.4002,12,0.5872,0.1667,0.4006,0.55
choralsynth,India-Domine_Deus_vite_meae,part,jamulus_lan,47.0,46.0,0.01,5,0.1996,0.0985,0.55,0.3748,11,0.5774,0.2182,0.375,0.51
choralsynth,India-Domine_Deus_vite_meae,part,jamulus_wan,83.0,57.0,0.03,5,0.1973,0.0736,0.4,0.2987,8,0.7071,0.45,0.2995,0.58
choralsynth,India-Domine_Deus_vite_meae,part,zoom,150.0,80.0,0.08,5,0.1966,0.0559,0.4,0.2983,8,0.6465,0.35,0.2992,0.6
choralsynth,India-Domine_prevenisti_eum,part,clean,0.0,0.0,0.0,5,0.2312,0.1925,0.65,0.4406,13,0.5873,0.2462,0.4119,0.0
choralsynth,India-Domine_prevenisti_eum,part,ept,25.0,10.0,0.0,5,0.2308,0.1104,0.9,0.5654,18,0.4868,0.0667,0.5369,0.0
choralsynth,India-Domine_prevenisti_eum,part,jamulus_lan,47.0,46.0,0.01,5,0.2242,0.0834,0.8,0.5121,16,0.5375,0.125,0.4866,0.0
choralsynth,India-Domine_prevenisti_eum,part,jamulus_wan,83.0,57.0,0.03,5,0.2204,0.0519,0.65,0.4352,13,0.5615,0.0923,0.4115,0.0
choralsynth,India-Domine_prevenisti_eum,part,zoom,150.0,80.0,0.08,5,0.2123,0.0329,0.75,0.4811,15,0.5538,0.1067,0.4611,0.0
esmuc,DG_FT_take1,singer,clean,0.0,0.0,0.0,12,0.6517,0.2908,0.9924,0.822,131,0.2906,0.007,0.613,0.0
esmuc,DG_FT_take1,singer,ept,25.0,10.0,0.0,12,0.6495,0.2056,0.9924,0.821,131,0.2906,0.007,0.613,0.0
esmuc,DG_FT_take1,singer,jamulus_lan,47.0,46.0,0.01,12,0.6355,0.16,1.0,0.8177,132,0.2887,0.0,0.6166,0.0
esmuc,DG_FT_take1,singer,jamulus_wan,83.0,57.0,0.03,12,0.62,0.1577,1.0,0.81,132,0.2887,0.0,0.6165,0.0
esmuc,DG_FT_take1,singer,zoom,150.0,80.0,0.08,12,0.5986,0.1268,1.0,0.7993,132,0.2887,0.0,0.6166,0.0
esmuc,SC1_FT_take1,singer,clean,0.0,0.0,0.0,12,0.5718,0.1588,0.5682,0.57,75,0.4152,0.1611,0.4427,0.0
esmuc,SC1_FT_take1,singer,ept,25.0,10.0,0.0,12,0.5699,0.1108,0.5985,0.5842,79,0.4414,0.1276,0.4578,0.0
esmuc,SC1_FT_take1,singer,jamulus_lan,47.0,46.0,0.01,12,0.5641,0.0689,0.7045,0.6343,93,0.388,0.1263,0.5107,0.0
esmuc,SC1_FT_take1,singer,jamulus_wan,83.0,57.0,0.03,12,0.5564,0.0625,0.803,0.6797,106,0.3449,0.0959,0.5598,0.0
esmuc,SC1_FT_take1,singer,zoom,150.0,80.0,0.08,12,0.5491,0.0593,0.8409,0.695,111,0.3298,0.0818,0.5784,0.0
esmuc,WU_FT_take1,singer,clean,0.0,0.0,0.0,12,0.8195,0.3118,0.6894,0.7545,91,0.3782,0.1603,0.5435,0.0
esmuc,WU_FT_take1,singer,ept,25.0,10.0,0.0,12,0.8181,0.2213,0.7955,0.8068,105,0.3621,0.1484,0.5962,0.0
esmuc,WU_FT_take1,singer,jamulus_lan,47.0,46.0,0.01,12,0.8049,0.1155,0.8636,0.8343,114,0.3197,0.0556,0.6304,0.0
esmuc,WU_FT_take1,singer,jamulus_wan,83.0,57.0,0.03,12,0.7943,0.1027,0.9015,0.8479,119,0.312,0.0329,0.6488,0.0
esmuc,WU_FT_take1,singer,zoom,150.0,80.0,0.08,12,0.7768,0.0743,0.9091,0.8429,120,0.3093,0.0278,0.6523,0.0
