dataset,piece,unit,level,delay_ms,jitter_sd_ms,dropout_rate,n_singers,A_mean,onset_sync,N_density,E_mean,E_comb_mean,n_sig_edges,max_eigen_centrality,gini_out_degree,null_mean,p_null
choralsynth,140._Leoni%2C_L._Audivi_vocem_Angelorum_a_8,part,zoom,150.0,80.0,0.08,8,0.5014,0.0613,1.0,0.7507,0.6464,56,0.3536,0.0,0.6207,0.0
choralsynth,Hail_to_the_Chief_Leslie,part,clean,0.0,0.0,0.0,5,0.6836,0.6241,0.75,0.7168,0.7017,15,0.5318,0.1067,0.4582,0.0
choralsynth,Hail_to_the_Chief_Leslie,part,ept,25.0,10.0,0.0,5,0.662,0.4112,1.0,0.831,0.7676,20,0.4472,0.0,0.5831,0.0
choralsynth,Hail_to_the_Chief_Leslie,part,jamulus_lan,47.0,46.0,0.01,5,0.5892,0.2204,0.95,0.7696,0.6765,19,0.4649,0.0421,0.5568,0.0
choralsynth,Hail_to_the_Chief_Leslie,part,jamulus_wan,83.0,57.0,0.03,5,0.5405,0.1963,0.9,0.7202,0.6313,18,0.4814,0.0667,0.5315,0.0
choralsynth,Hail_to_the_Chief_Leslie,part,zoom,150.0,80.0,0.08,5,0.4888,0.1246,1.0,0.7444,0.6512,20,0.4472,0.0,0.5802,0.0
choralsynth,Haydnmesse_4stimmig,part,clean,0.0,0.0,0.0,4,0.8483,0.5704,0.9167,0.8825,0.8123,11,0.5318,0.0682,0.5402,0.0
choralsynth,Haydnmesse_4stimmig,part,ept,25.0,10.0,0.0,4,0.8339,0.3823,1.0,0.917,0.8032,12,0.5,0.0,0.5818,0.0
choralsynth,Haydnmesse_4stimmig,part,jamulus_lan,47.0,46.0,0.01,4,0.7638,0.2304,1.0,0.8819,0.7482,12,0.5,0.0,0.5805,0.0
choralsynth,Haydnmesse_4stimmig,part,jamulus_wan,83.0,57.0,0.03,4,0.6907,0.1664,1.0,0.8454,0.7139,12,0.5,0.0,0.5795,0.0
choralsynth,Haydnmesse_4stimmig,part,zoom,150.0,80.0,0.08,4,0.6066,0.0999,1.0,0.8033,0.6753,12,0.5,0.0,0.5785,0.0
choralsynth,HempCW-JustJudge,part,clean,0.0,0.0,0.0,5,0.4651,0.3586,0.6,0.5326,0.5067,12,0.5882,0.2333,0.3851,0.0
choralsynth,HempCW-JustJudge,part,ept,25.0,10.0,0.0,5,0.4605,0.235,0.85,0.6552,0.6025,17,0.4944,0.0706,0.5099,0.0
choralsynth,HempCW-JustJudge,part,jamulus_lan,47.0,46.0,0.01,5,0.43,0.1589,0.85,0.64,0.5708,17,0.4944,0.0706,0.508,0.0
choralsynth,HempCW-JustJudge,part,jamulus_wan,83.0,57.0,0.03,5,0.4122,0.1212,0.8,0.6061,0.5357,16,0.5216,0.05,0.482,0.0
choralsynth,HempCW-JustJudge,part,zoom,150.0,80.0,0.08,5,0.3812,0.0909,0.7,0.5406,0.4686,14,0.5318,0.0571,0.4296,0.0
choralsynth,Honour_and_majesty_are_before_him,part,clean,0.0,0.0,0.0,5,0.3684,0.2341,0.75,0.5592,0.5216,15,0.5125,0.1067,0.454,0.0
choralsynth,Honour_and_majesty_are_before_him,part,ept,25.0,10.0,0.0,5,0.3673,0.1425,0.85,0.6086,0.5498,17,0.4944,0.0706,0.5038,0.0
choralsynth,Honour_and_majesty_are_before_him,part,jamulus_lan,47.0,46.0,0.01,5,0.3514,0.0993,0.85,0.6007,0.5337,17,0.508,0.0706,0.5032,0.0
choralsynth,Honour_and_majesty_are_before_him,part,jamulus_wan,83.0,57.0,0.03,5,0.3359,0.0549,0.8,0.568,0.4956,16,0.5216,0.125,0.4777,0.0
choralsynth,Honour_and_majesty_are_before_him,part,zoom,150.0,80.0,0.08,5,0.3149,0.0301,0.8,0.5575,0.486,16,0.5031,0.05,0.4771,0.0
choralsynth,Hunting_song_Macfarren_WC,part,clean,0.0,0.0,0.0,5,0.5099,0.4684,0.95,0.73,0.718,19,0.4649,0.0421,0.5534,0.0
choralsynth,Hunting_song_Macfarren_WC,part,ept,25.0,10.0,0.0,5,0.5025,0.2832,0.9,0.7012,0.6449,18,0.4814,0.0667,0.5282,0.0
choralsynth,Hunting_song_Macfarren_WC,part,jamulus_lan,47.0,46.0,0.01,5,0.4337,0.1696,0.9,0.6669,0.5986,18,0.4821,0.0667,0.526,0.0
choralsynth,Hunting_song_Macfarren_WC,part,jamulus_wan,83.0,57.0,0.03,5,0.3792,0.1233,0.85,0.6146,0.5468,17,0.4944,0.0706,0.5013,0.0
choralsynth,Hunting_song_Macfarren_WC,part,zoom,150.0,80.0,0.08,5,0.3321,0.0882,0.9,0.616,0.5519,18,0.4814,0.0667,0.5252,0.0
choralsynth,I_am_the_bread,part,clean,0.0,0.0,0.0,4,0.7531,0.4638,0.6667,0.7099,0.6424,8,0.6325,0.1875,0.4256,0.0
choralsynth,I_am_the_bread,part,ept,25.0,10.0,0.0,4,0.7526,0.3321,1.0,0.8763,0.7737,12,0.5,0.0,0.5921,0.0
choralsynth,I_am_the_bread,part,jamulus_lan,47.0,46.0,0.01,4,0.7123,0.2314,1.0,0.8562,0.7391,12,0.5,0.0,0.5922,0.0
choralsynth,I_am_the_bread,part,jamulus_wan,83.0,57.0,0.03,4,0.6766,0.158,1.0,0.8383,0.7085,12,0.5,0.0,0.591,0.0
choralsynth,I_am_the_bread,part,zoom,150.0,80.0,0.08,4,0.6191,0.1555,1.0,0.8095,0.6919,12,0.5,0.0,0.5899,0.0
choralsynth,I_am_the_resurrection_Tomkins,part,clean,0.0,0.0,0.0,4,0.5103,0.3061,0.6667,0.5885,0.5371,8,0.6364,0.1875,0.4156,0.0
choralsynth,I_am_the_resurrection_Tomkins,part,ept,25.0,10.0,0.0,4,0.511,0.2042,0.8333,0.6722,0.6004,10,0.5615,0.1,0.4987,0.0
choralsynth,I_am_the_resurrection_Tomkins,part,jamulus_lan,47.0,46.0,0.01,4,0.4869,0.1644,0.8333,0.6601,0.5804,10,0.5615,0.1,0.4981,0.0
choralsynth,I_am_the_resurrection_Tomkins,part,jamulus_wan,83.0,57.0,0.03,4,0.4633,0.101,0.9167,0.69,0.5985,11,0.5318,0.0682,0.5397,0.0
choralsynth,I_am_the_resurrection_Tomkins,part,zoom,150.0,80.0,0.08,4,0.4346,0.0727,1.0,0.7173,0.6236,12,0.5,0.0,0.5798,0.0
choralsynth,I_know_that_my_Redeemer_Tomkins,part,clean,0.0,0.0,0.0,4,0.2913,0.3024,0.1667,0.229,0.2256,2,0.7071,0.5,0.1566,0.0
choralsynth,I_know_that_my_Redeemer_Tomkins,part,ept,25.0,10.0,0.0,4,0.291,0.2144,0.5833,0.4372,0.4136,7,0.7071,0.25,0.365,0.0
choralsynth,I_know_that_my_Redeemer_Tomkins,part,jamulus_lan,47.0,46.0,0.01,4,0.2737,0.1195,0.75,0.5118,0.4693,9,0.6106,0.0833,0.448,0.0
choralsynth,I_know_that_my_Redeemer_Tomkins,part,jamulus_wan,83.0,57.0,0.03,4,0.2563,0.1027,0.8333,0.5448,0.5063,10,0.5774,0.1,0.4889,0.0
choralsynth,I_know_that_my_Redeemer_Tomkins,part,zoom,150.0,80.0,0.08,4,0.2402,0.0616,1.0,0.6201,0.5729,12,0.5,0.0,0.5705,0.0
choralsynth,I_know_whom_I_have_believed_-_MacFarren,part,clean,0.0,0.0,0.0,5,0.6139,0.3318,1.0,0.8069,0.7362,20,0.4472,0.0,0.6059,0.0
choralsynth,I_know_whom_I_have_believed_-_MacFarren,part,ept,25.0,10.0,0.0,5,0.6127,0.2776,1.0,0.8063,0.7245,20,0.4472,0.0,0.6057,0.0
choralsynth,I_know_whom_I_have_believed_-_MacFarren,part,jamulus_lan,47.0,46.0,0.01,5,0.5993,0.1534,1.0,0.7996,0.689,20,0.4472,0.0,0.6052,0.0
choralsynth,I_know_whom_I_have_believed_-_MacFarren,part,jamulus_wan,83.0,57.0,0.03,5,0.5987,0.1508,1.0,0.7994,0.6856,20,0.4472,0.0,0.6045,0.0
choralsynth,I_know_whom_I_have_believed_-_MacFarren,part,zoom,150.0,80.0,0.08,5,0.5872,0.1091,1.0,0.7936,0.6748,20,0.4472,0.0,0.6046,0.0
choralsynth,I_will_recount,part,clean,0.0,0.0,0.0,4,0.5048,0.1697,0.4167,0.4608,0.3807,5,0.7071,0.15,0.3093,0.0
choralsynth,I_will_recount,part,ept,25.0,10.0,0.0,4,0.5096,0.0991,0.75,0.6298,0.5294,9,0.6255,0.1944,0.4758,0.0
choralsynth,I_will_recount,part,jamulus_lan,47.0,46.0,0.01,4,0.4947,0.0903,0.5833,0.539,0.439,7,0.5438,0.25,0.3917,0.0
choralsynth,I_will_recount,part,jamulus_wan,83.0,57.0,0.03,4,0.4779,0.0736,0.6667,0.5723,0.4749,8,0.6655,0.1875,0.4322,0.0
choralsynth,I_will_recount,part,zoom,150.0,80.0,0.08,4,0.4434,0.0369,0.5,0.4717,0.3729,6,0.5774,0.4167,0.3477,0.0
choralsynth,If_I_had_but_two_little_wings_Parry,part,clean,0.0,0.0,0.0,5,0.4447,0.4712,1.0,0.7224,0.7273,20,0.4472,0.0,0.5745,0.0
choralsynth,If_I_had_but_two_little_wings_Parry,part,ept,25.0,10.0,0.0,5,0.4402,0.3211,1.0,0.7201,0.6893,20,0.4472,0.0,0.5742,0.0
choralsynth,If_I_had_but_two_little_wings_Parry,part,jamulus_lan,47.0,46.0,0.01,5,0.4092,0.215,1.0,0.7046,0.6531,20,0.4472,0.0,0.5731,0.0
choralsynth,If_I_had_but_two_little_wings_Parry,part,jamulus_wan,83.0,57.0,0.03,5,0.3774,0.1685,0.95,0.6637,0.6131,19,0.4649,0.0421,0.5474,0.0
choralsynth,If_I_had_but_two_little_wings_Parry,part,zoom,150.0,80.0,0.08,5,0.3406,0.1109,0.9,0.6203,0.5619,18,0.4814,0.0667,0.5212,0.0
choralsynth,If_ye_then_be_risen_with_Christ_Foster,part,clean,0.0,0.0,0.0,3,0.3482,0.2649,1.0,0.6741,0.6492,6,0.5774,0.0,0.586,0.0
choralsynth,If_ye_then_be_risen_with_Christ_Foster,part,ept,25.0,10.0,0.0,3,0.3479,0.1801,1.0,0.6739,0.6327,6,0.5774,0.0,0.5859,0.0
choralsynth,If_ye_then_be_risen_with_Christ_Foster,part,jamulus_lan,47.0,46.0,0.01,3,0.337,0.1272,1.0,0.6685,0.6174,6,0.5774,0.0,0.5855,0.0
choralsynth,If_ye_then_be_risen_with_Christ_Foster,part,jamulus_wan,83.0,57.0,0.03,3,0.3231,0.0962,1.0,0.6616,0.6102,6,0.5774,0.0,0.5856,0.0
choralsynth,If_ye_then_be_risen_with_Christ_Foster,part,zoom,150.0,80.0,0.08,3,0.3039,0.0587,1.0,0.6519,0.5926,6,0.5774,0.0,0.5851,0.0
choralsynth,If_you_love_me,part,clean,0.0,0.0,0.0,4,0.4801,0.2057,0.6667,0.5734,0.4998,8,0.6325,0.0,0.4258,0.0
choralsynth,If_you_love_me,part,ept,25.0,10.0,0.0,4,0.4798,0.1605,0.75,0.6149,0.5295,9,0.5774,0.0833,0.4672,0.0
choralsynth,If_you_love_me,part,jamulus_lan,47.0,46.0,0.01,4,0.4614,0.1221,0.8333,0.6474,0.5579,10,0.5615,0.1,0.5089,0.0
choralsynth,If_you_love_me,part,jamulus_wan,83.0,57.0,0.03,4,0.4333,0.0876,0.75,0.5917,0.4996,9,0.6106,0.0833,0.4665,0.0
choralsynth,If_you_love_me,part,zoom,150.0,80.0,0.08,4,0.4013,0.0978,1.0,0.7006,0.6214,12,0.5,0.0,0.591,0.0
choralsynth,India-Circumdederunt_me,part,clean,0.0,0.0,0.0,5,0.2451,0.1857,0.55,0.3975,0.3841,11,0.6326,0.2182,0.3853,0.0
choralsynth,India-Circumdederunt_me,part,ept,25.0,10.0,0.0,5,0.2459,0.1407,0.75,0.4979,0.4752,15,0.5418,0.16,0.4852,0.0
choralsynth,India-Circumdederunt_me,part,jamulus_lan,47.0,46.0,0.01,5,0.2466,0.1095,0.8,0.5233,0.4934,16,0.5111,0.125,0.5101,0.0
choralsynth,India-Circumdederunt_me,part,jamulus_wan,83.0,57.0,0.03,5,0.2463,0.076,0.65,0.4481,0.4095,13,0.5516,0.2154,0.4348,0.0
choralsynth,India-Circumdederunt_me,part,zoom,150.0,80.0,0.08,5,0.2447,0.0675,0.65,0.4473,0.4059,13,0.5516,0.2154,0.4342,0.0
choralsynth,India-Deus%2C_Deus_meus_respice,part,clean,0.0,0.0,0.0,4,0.2367,0.1643,0.1667,0.2017,0.1885,2,0.7095,0.5,0.19,0.0105
choralsynth,India-Deus%2C_Deus_meus_respice,part,ept,25.0,10.0,0.0,4,0.2368,0.1289,0.5,0.3684,0.3466,6,0.7071,0.1667,0.3566,0.0115
choralsynth,India-Deus%2C_Deus_meus_respice,part,jamulus_lan,47.0,46.0,0.01,4,0.2339,0.0822,0.5833,0.4086,0.376,7,0.7071,0.25,0.3983,0.02
choralsynth,India-Deus%2C_Deus_meus_respice,part,jamulus_wan,83.0,57.0,0.03,4,0.232,0.0533,0.3333,0.2826,0.2444,4,0.5,0.625,0.2733,0.0295
choralsynth,India-Deus%2C_Deus_meus_respice,part,zoom,150.0,80.0,0.08,4,0.2255,0.0454,0.3333,0.2794,0.2387,4,0.5,0.625,0.2724,0.07
choralsynth,India-Domine_Deus_vite_meae,part,clean,0.0,0.0,0.0,5,0.2008,0.1932,0.35,0.2754,0.2759,7,0.6547,0.4571,0.2758,0.5245
choralsynth,India-Domine_Deus_vite_meae,part,ept,25.0,10.0,0.0,5,0.2004,0.1372,0.6,0.4002,0.3881,12,0.5872,0.1667,0.4009,0.5635
choralsynth,India-Domine_Deus_vite_meae,part,jamulus_lan,47.0,46.0,0.01,5,0.1996,0.0985,0.45,0.3248,0.3017,9,0.7071,0.3111,0.3253,0.5435
choralsynth,India-Domine_Deus_vite_meae,part,jamulus_wan,83.0,57.0,0.03,5,0.1973,0.0736,0.4,0.2987,0.2699,8,0.7071,0.45,0.2998,0.62
choralsynth,India-Domine_Deus_vite_meae,part,zoom,150.0,80.0,0.08,5,0.1966,0.0559,0.4,0.2983,0.2645,8,0.7071,0.45,0.2996,0.643
choralsynth,India-Domine_prevenisti_eum,part,clean,0.0,0.0,0.0,5,0.2312,0.1925,0.65,0.4406,0.4301,13,0.5873,0.2462,0.4123,0.0
choralsynth,India-Domine_prevenisti_eum,part,ept,25.0,10.0,0.0,5,0.2308,0.1104,0.9,0.5654,0.5357,18,0.4868,0.0667,0.5372,0.0
choralsynth,India-Domine_prevenisti_eum,part,jamulus_lan,47.0,46.0,0.01,5,0.2242,0.0834,0.85,0.5371,0.501,17,0.5033,0.0706,0.5119,0.0
choralsynth,India-Domine_prevenisti_eum,part,jamulus_wan,83.0,57.0,0.03,5,0.2204,0.0519,0.65,0.4352,0.3922,13,0.5615,0.0923,0.4117,0.0
choralsynth,India-Domine_prevenisti_eum,part,zoom,150.0,80.0,0.08,5,0.2123,0.0329,0.75,0.4811,0.4361,15,0.5538,0.1067,0.4614,0.0
dagstuhl,LI_FullChoir_Take01,singer,clean,0.0,0.0,0.0,8,0.5615,0.3006,0.9821,0.7718,0.7045,55,0.3589,0.0159,0.6098,0.0
dagstuhl,LI_FullChoir_Take01,singer,ept,25.0,10.0,0.0,8,0.559,0.2201,0.9286,0.7438,0.66,52,0.378,0.0673,0.5829,0.0
dagstuhl,LI_FullChoir_Take01,singer,jamulus_lan,47.0,46.0,0.01,8,0.5486,0.1778,0.9821,0.7654,0.6745,55,0.3589,0.0159,0.6095,0.0
dagstuhl,LI_FullChoir_Take01,singer,jamulus_wan,83.0,57.0,0.03,8,0.5378,0.1668,1.0,0.7689,0.6752,56,0.3536,0.0,0.6186,0.0
dagstuhl,LI_FullChoir_Take01,singer,zoom,150.0,80.0,0.08,8,0.5231,0.1182,1.0,0.7615,0.6626,56,0.3536,0.0,0.6187,0.0
dagstuhl,LI_QuartetA_Take02,singer,clean,0.0,0.0,0.0,4,0.572,0.3049,0.9167,0.7443,0.6784,11,0.5318,0.0682,0.5735,0.0
dagstuhl,LI_QuartetA_Take02,singer,ept,25.0,10.0,0.0,4,0.5702,0.2271,1.0,0.7851,0.7015,12,0.5,0.0,0.6152,0.0
dagstuhl,LI_QuartetA_Take02,singer,jamulus_lan,47.0,46.0,0.01,4,0.5575,0.1969,1.0,0.7787,0.6922,12,0.5,0.0,0.615,0.0
dagstuhl,LI_QuartetA_Take02,singer,jamulus_wan,83.0,57.0,0.03,4,0.5409,0.1579,1.0,0.7705,0.6748,12,0.5,0.0,0.6151,0.0
dagstuhl,LI_QuartetA_Take02,singer,zoom,150.0,80.0,0.08,4,0.5207,0.1235,1.0,0.7603,0.6611,12,0.5,0.0,0.6149,0.0
dagstuhl,LI_QuartetB_Take01,singer,clean,0.0,0.0,0.0,4,0.6078,0.3318,1.0,0.8039,0.733,12,0.5,0.0,0.6148,0.0
dagstuhl,LI_QuartetB_Take01,singer,ept,25.0,10.0,0.0,4,0.6092,0.2462,1.0,0.8046,0.7128,12,0.5,0.0,0.6148,0.0
dagstuhl,LI_QuartetB_Take01,singer,jamulus_lan,47.0,46.0,0.01,4,0.5965,0.1885,0.9167,0.7566,0.6541,11,0.5318,0.0682,0.573,0.0
dagstuhl,LI_QuartetB_Take01,singer,jamulus_wan,83.0,57.0,0.03,4,0.5796,0.1441,1.0,0.7898,0.681,12,0.5,0.0,0.6144,0.0
dagstuhl,LI_QuartetB_Take01,singer,zoom,150.0,80.0,0.08,4,0.555,0.1339,1.0,0.7775,0.6743,12,0.5,0.0,0.6138,0.0
dagstuhl,TP_FullChoir_Take01,singer,clean,0.0,0.0,0.0,8,0.3832,0.2504,0.7321,0.5577,0.5222,41,0.398,0.1982,0.4755,0.0
dagstuhl,TP_FullChoir_Take01,singer,ept,25.0,10.0,0.0,8,0.3836,0.1992,0.7143,0.549,0.5019,40,0.4636,0.1562,0.4664,0.0
dagstuhl,TP_FullChoir_Take01,singer,jamulus_lan,47.0,46.0,0.01,8,0.3818,0.1425,0.75,0.5659,0.5055,42,0.4555,0.1488,0.4842,0.0
dagstuhl,TP_FullChoir_Take01,singer,jamulus_wan,83.0,57.0,0.03,8,0.3741,0.1279,0.75,0.5621,0.5005,42,0.4481,0.131,0.4838,0.0
dagstuhl,TP_FullChoir_Take01,singer,zoom,150.0,80.0,0.08,8,0.3633,0.1173,0.7679,0.5656,0.5023,43,0.4271,0.1308,0.4924,0.0
dagstuhl,TP_QuartetA_Take01,singer,clean,0.0,0.0,0.0,4,0.4461,0.2478,0.9167,0.6814,0.6328,11,0.5318,0.0682,0.5551,0.0
dagstuhl,TP_QuartetA_Take01,singer,ept,25.0,10.0,0.0,4,0.4471,0.2034,1.0,0.7235,0.6626,12,0.5,0.0,0.5966,0.0
dagstuhl,TP_QuartetA_Take01,singer,jamulus_lan,47.0,46.0,0.01,4,0.4385,0.15,1.0,0.7193,0.6485,12,0.5,0.0,0.5963,0.0
dagstuhl,TP_QuartetA_Take01,singer,jamulus_wan,83.0,57.0,0.03,4,0.4299,0.1032,1.0,0.715,0.6348,12,0.5,0.0,0.5968,0.0
dagstuhl,TP_QuartetA_Take01,singer,zoom,150.0,80.0,0.08,4,0.4017,0.1256,1.0,0.7008,0.6329,12,0.5,0.0,0.5971,0.0
esmuc,DG_FT_take1,singer,clean,0.0,0.0,0.0,12,0.6517,0.2908,1.0,0.8258,0.7315,132,0.2887,0.0,0.6171,0.0
esmuc,DG_FT_take1,singer,ept,25.0,10.0,0.0,12,0.6495,0.2056,0.9924,0.821,0.7077,131,0.2906,0.007,0.6133,0.0
esmuc,DG_FT_take1,singer,jamulus_lan,47.0,46.0,0.01,12,0.6355,0.16,1.0,0.8177,0.6968,132,0.2887,0.0,0.6169,0.0
esmuc,DG_FT_take1,singer,jamulus_wan,83.0,57.0,0.03,12,0.62,0.1577,1.0,0.81,0.6931,132,0.2887,0.0,0.6168,0.0
esmuc,DG_FT_take1,singer,zoom,150.0,80.0,0.08,12,0.5986,0.1268,1.0,0.7993,0.6776,132,0.2887,0.0,0.6169,0.0
esmuc,SC1_FT_take1,singer,clean,0.0,0.0,0.0,12,0.5718,0.1588,0.5303,0.551,0.4494,70,0.4274,0.1619,0.4242,0.0
esmuc,SC1_FT_take1,singer,ept,25.0,10.0,0.0,12,0.5699,0.1108,0.553,0.5615,0.4504,73,0.4759,0.1747,0.4355,0.0
esmuc,SC1_FT_take1,singer,jamulus_lan,47.0,46.0,0.01,12,0.5641,0.0689,0.6591,0.6116,0.4905,87,0.4069,0.158,0.4884,0.0
esmuc,SC1_FT_take1,singer,jamulus_wan,83.0,57.0,0.03,12,0.5564,0.0625,0.7121,0.6342,0.5133,94,0.3688,0.0975,0.5148,0.0
esmuc,SC1_FT_take1,singer,zoom,150.0,80.0,0.08,12,0.5491,0.0593,0.7652,0.6571,0.5367,101,0.3527,0.1081,0.5409,0.0
esmuc,WU_FT_take1,singer,clean,0.0,0.0,0.0,12,0.8195,0.3118,0.6212,0.7204,0.5936,82,0.3902,0.1707,0.5111,0.0
esmuc,WU_FT_take1,singer,ept,25.0,10.0,0.0,12,0.8181,0.2213,0.7121,0.7651,0.6155,94,0.4024,0.1649,0.5562,0.0
esmuc,WU_FT_take1,singer,jamulus_lan,47.0,46.0,0.01,12,0.8049,0.1155,0.8106,0.8078,0.6367,107,0.3322,0.0724,0.6056,0.0
esmuc,WU_FT_take1,singer,jamulus_wan,83.0,57.0,0.03,12,0.7943,0.1027,0.8636,0.829,0.6547,114,0.3216,0.0643,0.6315,0.0
esmuc,WU_FT_take1,singer,zoom,150.0,80.0,0.08,12,0.7768,0.0743,0.8939,0.8354,0.6588,118,0.3121,0.041,0.6463,0.0
