"video_id","url","title","channel","upload_date","duration_s","nmp_system","singer_count_est","format","why_included","why_not_post_produced"
"bIDeVGwJQBI","https://www.youtube.com/watch?v=bIDeVGwJQBI","City Choir Spring 2021 Concert — Live Stream","City Choir","2021-06-22","2534","Jamulus","51","live","Full virtual live concert; description states choir 'met virtually live through Jamulus and Zoom throughout 2020 and 2021'.","Jamulus audio feed failed mid-concert causing two songs to be dropped; documented real-time technical failure is impossible to fake in post-production."
"bT6B5hjk34M","https://www.youtube.com/watch?v=bT6B5hjk34M","London City Voices sing ""O Holy Night"" live over Jamulus and Zoom","London City Voices Choir","2021-12-21","210","Jamulus+Zoom","20","live","Live replacement for a cancelled in-person concert; description explicitly contrasts this with their previous virtual-choir project.","Description states 'This was live … What you see and hear is mostly what we saw and heard, with some titles and logo added'; vocal comping explicitly ruled out."
"eMCD_pEWpAQ","https://youtu.be/eMCD_pEWpAQ","Jamulus and Zoom singalong with three live instruments and 30 people online","London City Voices Choir","2021-02-27","9000","Jamulus+Zoom","30","live","40th birthday singalong; ~30 singers plus piano/guitar/bass live on Jamulus; 60+ watching on Zoom.","Described as a long unplanned singalong 'not a choir performance at all'; continuous 2.5-hour raw session with acoustic bleed and overlapping banter."
"isIV1XsKCgQ","https://youtu.be/isIV1XsKCgQ","London City Voices singing ""Toxic"" live over Jamulus","London City Voices Choir","2021-02-24","285","Jamulus+Zoom","45","rehearsal","Supervisor seed example; 45 singers on Jamulus, 60+ on Zoom; demonstrates hybrid AV architecture at scale.","Described as a first-time-through demonstration of Jamulus capability; live verbal director feedback audible; raw Jamulus mix published without editing."
"jui2O9xfAGo","https://www.youtube.com/watch?v=jui2O9xfAGo","Meeting Places: Singing from Home Edition (Trimmed)","i Coristi Chamber Choir","2020-05-31","2480","Jamulus","15","live","Program notes state pieces 'Recorded live(-to-air) via Jamulus' on specific May 2020 dates; real-time improvisation described.","Artistic director states only light noise reduction and level adjustment applied post-hoc; real-time improvisation structure rules out comping."
"m0B7eYw7oEk","https://youtu.be/m0B7eYw7oEk","Hair Medley (with costumes) NES Online Zoom Choir Rehearsal","New Egham Singers","2020-12-15","240","Zoom","20","rehearsal","Community choir Zoom rehearsal with costumes; shows 20+ singers attempting synchrony over native Zoom without NMP audio layer.","Native Zoom cacophony from multiple unmuted participants; no post-production could reproduce the characteristic Zoom smearing without re-recording."
"m811fZiPyaQ","https://www.youtube.com/live/m811fZiPyaQ","Jamulus Choral Festival","WorldJam","2020-07-15","4055","Jamulus","40","live","Supervisor seed example; live festival broadcast with Jamulus Chamber(s) Choir, Velvet Quartet, Popkoor Utrecht.","Description explicitly states 'this is not pre-recorded music spliced together … this is REAL. LIVE. MUSIC'; streamed live with spontaneous conductor interactions."
"nPRUe91jnPs","https://www.youtube.com/watch?v=nPRUe91jnPs","Conducting a Choir in Jamulus","Jurriaan Grootes","2021-01-28","2967","Jamulus","20","workshop","Tutorial drawing on months of choir work in Jamulus; contains embedded live rehearsal excerpts with distributed singers.","Screen-captured Jamulus UI with server jitter and live metronome visible; continuous uninterrupted session capture without any DAW editing."
"ouFyQKszE_Y","https://youtu.be/ouFyQKszE_Y","SoundJack rehearsal Monday, 2021 June 7: Untraveled Worlds","New Jersey Gay Men's Chorus","2022-12-17","300","SoundJack","12","rehearsal","NJGMC's documented SoundJack low-latency project; 12 singers using SoundJack and LiveLab for near-physical synchrony.","Visible discrepancy between facial lip movements and vocal onset in individual tiles confirms impossibility of comped mix."
"u7UTcrzQngs","https://www.youtube.com/watch?v=u7UTcrzQngs","Space for Peace Virtual — Live on ZOOM 29th June 2020","Music Centre, University of Winchester","2020-07-07","2124","Zoom","30","live","University-led live Zoom performance; 30 singers from multiple countries deliberately embracing latency as a compositional element.","Performance design explicitly accepts unsynchronised audio as aesthetic; live mix architecture rules out post-alignment."
"uO2C6f7iF-M","https://youtu.be/uO2C6f7iF-M","London City Voices — a small group sings Mr Blue Sky by ELO LIVE over Jamulus and Zoom","London City Voices Choir","2021-01-29","295","Jamulus+Zoom","8","live","Description states 'LIVE over Jamulus and Zoom … demonstrate the potential of Jamulus for live online rehearsals'; individual tiles visible.","Positioned as live demonstration rather than polished performance; unquantized entrances and minor phase issues from varying jitter present."
"w0ywMP8mOc4","https://youtu.be/w0ywMP8mOc4","And so it goes — Jamulus Choral Festival","Martin Waugh","2021-04-17","278","Jamulus","24","live","Choral-festival segment with ~24 singers in tiles; uploader states video demonstrates live group singing in Jamulus.","Description states 'unedited as it happened — no stitching together on a computer'; minor network volume imbalances persist."
"zOAHHX6A8p0","https://youtu.be/zOAHHX6A8p0","Bell Carol — Online Laboratory Choir of the Choir@Home Project (SoundJack)","Virtual Choir HQ / Choir@Home","2023-12-21","256","SoundJack","34","live","Erasmus+ funded Choir@Home research project; 34 amateur singers from 6 countries performing live online via SoundJack under professional direction.","Project explicitly investigates live online performance using low-latency software; described as a direct SoundJack session capture, not a compiled studio recording."
"zp1qLCckgLk","https://youtu.be/zp1qLCckgLk","Karen Richardson, Jamulus World Jam, ""Somebody To Love""","Strangers To Riches","2020-06-13","533","Jamulus","10","live","Supervisor seed example; live World Jam session with 10+ singers visible in Jamulus grid tiles.","Unquantized vocal entrances and real-time backing-track drift audible throughout; raw Jamulus session capture."
